"Ferreteria Hierros H.D.";"ventasibague@hierroshd.com";"Tel: (58) (295) 2482906";"Cl 9 3-73 El Espinal, Venezuela";"A Domicilio Servicio A Domicilio"
"RESTAURANT EL VIEJO MUELLE";"";"Tel: (58) (295) 2532962";"Cl El Fuerte, Juan Griego Juan Griego, Venezuela";"Muelles"
"NEUMATICAS VALENCIA C.A";"";"Tel: (58) (241) 8343602";"Av Pancho Pepe Croquer, Valencia, Edo. Carabobo Valencia, Venezuela";"Neumática"
"POGASOL, S.A.";"";"Tel: (58) (261) 7232824";"Calle 88, Qta. Aismería, Local 14a-94 Las Delicias Maracaibo, Venezuela";"Neveras"
"ARNEVECA";"";"Tel: (58) (212) 3326141";"Caracas Caracas, Venezuela";"Neveras"
"INVERSIONES CAPITAL PLUS C.A.";"";"Tel: (58) (212) 2394930";"Cl Capitolio, Boleita Sur Caracas, Venezuela";"Neveras"
"MUEBLES DE ACERO ETERNA C.A.";"";"Tel: (58) (212) 2344850";"Cl Santa Ana, Boleita Caracas, Venezuela";"Neveras"
"MULTISERVICIOS TECOMILNET";"";"Tel: (58) (212) 9440433";"C.C Plaza La Trinidad, Caracas Caracas, Venezuela";"Neveras"
"EVOLUTION NUTRICION Y EJERCICIOS";"";"Tel: (58) (212) 3523278";"C.C. Sol Mariano Center Playa Grande Caracas, Venezuela";"Nutricion"
"REY, SONIA DRA.";"";"Tel: (58) (276) 3441486";"Cl. 15, Pasaje Cunamá San Cristóbal, Venezuela";"Odontología Cosmética"
"CENTRO DE REHABILITACIÓN BUCAL ROSLI";"";"Tel: (58) (265) 6311743";"Cl. San Mateo Ciudad Ojeda, Venezuela";"Odontología Cosmética"
"VALERO, CARMEN J. DE DRA.";"";"Tel: (58) (261) 7984145";"Clinica Falcon Maracaibo, Venezuela";"Odontología Cosmética"
"MOLINA B, MANUEL";"";"Tel: (58) (274) 2634744";"Oficentro El Encanto Mérida, Venezuela";"Odontología Cosmética"
"CONSULTORIO ODONTOLOGICO JESUS G. LANDER G.";"";"Tel: (58) (281) 2698886";"Av. Estadium, C.C Novocentro Puerto de  la Cruz, Venezuela";"Odontología Cosmética"
"CENTRO DE ESPECIALIDADES ODONTOLOGICAS AB";"";"Tel: (58) (295) 2628722";"Av. Bolivar, Cc Ab Mezz Pampatar, Venezuela";"Odontología Cosmética"
"ESPECIALIDADES ODONTOLÓGICAS";"";"Tel: (58) (274) 2667060";"Av. Las Américas Mérida, Venezuela";"Odontología Cosmética"
"CENTRO ODONTOLOGICO PLAZA MAYOR";"";"Tel: (58) (281) 2813969";"Ctro. Cial. Plaza Mayor Lecherías, Venezuela";"Odontología Cosmética"
"INVERSIONES MONTINI, C.A.";"";"Tel: (58) (261) 7928731";"Consultorio Amado Maracaibo, Venezuela";"Odontología Cosmética"
"UNIDAD ODONTOLIGICA INTEGRAL DRA JANY INCIARTE DE LAMBO";"";"Tel: (58) (261) 7412378";"Fuerzas Armadas-Maracaibo Maracaibo, Venezuela";"Odontología Cosmética"
"ESPECIALIDADES ODONTOLOGICAS COSTA AZUL";"";"Tel: (58) (295) 2644544";"Av. Fco Estevan, La Arboleda Porlamar, Venezuela";"Odontología Cosmética"
"MARIN, LUZ M. DRA.";"";"Tel: (58) (276) 3553192";"Cl. 13, Barrio Obrero San Cristóbal, Venezuela";"Odontología Cosmética"
"JIMENO J., MARIO DR.";"";"Tel: (58) (261) 7973483";"Clinica Juan B. Jimenez Maracaibo, Venezuela";"Odontología Cosmética"
"ASISTENCIA ODONTOLÓGICA INTEGRAL DR. EDGARDO LÓPEZ";"";"Tel: (58) (261) 7412832";"Av. 2, Entre Cll H y H1 Maracaibo, Venezuela";"Odontología Cosmética"
"UNIDAD CLÍNICA DE IMPLANTES Y PRÓTESIS ODONTOLÓGICAS";"";"Tel: (58) (276) 3464453";"C.C. El Parque San Cristóbal, Venezuela";"Odontología Cosmética"
"CLÍNICA ODONTOLÓGICA VARYNA";"";"Tel: (58) (273) 5335703";"Av. Montilla Barinas, Venezuela";"Odontología Cosmética"
"ORFEBRERIA AL HATILLO";"";"Tel: (58) (212) 9851511";"C.C Galerias Los Naranjos Caracas, Venezuela";"Orfebrería"
"PILAOS";"";"Tel: (58) (212) 2634466";"Chacao Caracas, Venezuela";"Pailas"
"AUTOMERCADO LA PARADA";"";"Tel: (58) (275) 8731762";"A 2 Cuadras del Hospital San José Tovar, Venezuela";"Paradas"
"LA PARADA DEL HIDROMATICO";"";"Tel: (58) (241) 8350277";"Cl Escalona Entre Rangel Y Silva, Valencia Valencia, Venezuela";"Paradas"
"PARADA, VIDALIA M. DE DRA.";"";"Tel: (58) (276) 3436656";"Av. 5, Edf. Uribarte Consultorio 204 San Cristóbal, Venezuela";"Paradas"
"HOTEL TURISTICO LA PARADA";"";"Tel: (58) (212) 3523884";"10 Catia La Mar Caracas, Venezuela";"Paradas"
"U.E LA PARADA DE LOS NIÑOS";"";"Tel: (58) (212) 4728509";"Cll. 10 La Paz Caracas, Venezuela";"Paradas"
"AGROPECUARIA LA GRAN PARADA";"";"Tel: (58) (276) 3462116";"La Concordia San Cristóbal, Venezuela";"Paradas"
"COMERCIAL PORFIRIO PARADA C.A., COPORPA";"";"Tel: (58) (276) 3430930";"Carrera 9, Nú 7-33 (Frente A La Iglesia San José), San Cristóbal, Edo. Táchira San Cristóbal, Venezuela";"Paradas"
"CENTRO MÉDICO OFTALMOLÓGICO DRA. ELENA PARADA";"";"Tel: (58) (274) 2448364";"Av. Las Américas Mérida, Venezuela";"Paradas"
"PANADERIA Y PASTELERIA LA GRAN PARADA DEL SIGLO XXI CA";"";"Tel: (58) (249) 7934271";"Av.Sucre Con Cll. Heres Bejuma, Venezuela";"Paradas"
"SERVIPS. C.A.";"";"Tel: (58) (212) 2857896";"Caracas Caracas, Venezuela";"Pasarelas"
"DON PERRO";"";"Tel: (58) (212) 2661038";"La Castellana Caracas, Venezuela";"Perros"
"TODO P©AL PERRO CALIENTE, C.A.";"";"Tel: (58) (212) 2346263";"Av Principal De La Carlota Caracas, Venezuela";"Perros"
"Distrilijas y Parafinados";"distriparafinados@gmail.com";"Cel.: (58) 3117621344";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Perros"
"PILATES STUDIO C.A.";"";"Tel: (58) (212) 9933352";"Las Mercedes - Caracas Caracas, Venezuela";"Pilates"
"LABORATORIO GEMINIS C.A.";"";"Tel: (58) (212) 2621897";"Cl. La Joya, Edif. Cosmos, Mezz, Ofics. D Y E, Chacao Caracas, Venezuela";"Pipetas"
"PLANTAS ELÉCTRICAS";"";"Tel: (58) (241) 6179312";"Valencia Valencia, Venezuela";"Planchas Eléctricas"
"CENTRO DE ATENCION MATERNAL PLASTILINA";"";"Tel: (58) (241) 8239216";"Av. Carabobo La Viña Valencia, Venezuela";"Plastilina"
"TECHNOLOGY INCORPORATED, S.A.";"";"Tel: (58) (265) 6310538";"Sector Ezequiel Zamora Calle San José, Nú 1 Tía Juana, Ciudad Ojeda Ciudad Ojeda, Venezuela";"Polipastos Tornos Y Cabrestantes Gatos"
"COMPLEJO LICORERO PONCHE CREMA";"";"Tel: (58) (212) 9932363";"Cl Madrid Las Mercedes Caracas, Venezuela";"Ponche"
"PUBLICIDAD PALOTAL";"";"Tel: (58) (276) 7717094";"Av. Vía Ppal, El Palotal San Antonio del Táchira, Venezuela";"Portarretratos"
"POLICOMERCIAL, C.A.";"";"Tel: (58) (276) 3479450";"Av. 8 La Concordia San Cristóbal, Venezuela";"Productos Agrícolas Y Orgánicos"
"FARMACIA AVANTS MEDICA, C.A.";"";"Telefax: (58) (273) 7522272";"Cc Taicupa, Loc5, Indio Mara Barinas, Venezuela";"Productos Desechables Para Médicos"
"REPRESENTACIONES HERNANDEZ, C.A.";"";"Tel: (58) (261) 7291021";"Calle 100, C.C. Wisan Pb Local 14 Sabaneta Maracaibo, Venezuela";"Productos Desechables Para Médicos"
"DROGUERIA NANO, C.A.";"";"Tel: (58) (276) 3465710";"Av. Lucio Oquendo San Cristóbal, Venezuela";"Productos Desechables Para Médicos"
"DOTACIONES, C.A.";"";"Tel: (58) (276) 3552879";"Carrera 16 con Calle 11. Nú 10-174 San Cristóbal, Venezuela";"Productos Desechables Para Médicos"
"COMERCIALIZADORA EDS C.A.";"";"Tel: (58) (212) 2562641";"Cl. Terepaima, Edif. Terepaima, Piso 1, El Llanito Caracas, Venezuela";"Productos Desechables Para Médicos"
"MEDICAL RED, C.A.";"";"Tel: (58) (285) 6329518";"Edf. Previte, P.B., Local 4 Av Germania Ciudad Bolivar, Venezuela";"Productos Desechables Para Médicos"
"MEDICO DENTAL LLANOS";"";"Tel: (58) (274) 2521530";"Av. 4 Entre Calles 30-31, Nú 30-47, Merida, Edo. Merida Mérida, Venezuela";"Productos Desechables Para Médicos"
"INTRAMEDICA C.A.";"";"Tel: (58) (276) 3467656";"Av. Lucio Oquendo. Torre Europa - Local 01 - Planta Baja San Cristobal - Estado de Tachira San Cristóbal, Venezuela";"Productos Desechables Para Médicos"
"FARMACIA STADIUM, C.A.";"";"Tel: (58) (273) 5723134";"Emergencia Barinas, Venezuela";"Productos Desechables Para Médicos"
"TOGARCA";"";"Tel: (58) (276) 3436263";"Av. cuatricentenaria San Cristóbal, Venezuela";"Productos Desechables Para Médicos"
"MEDILAB SUMINISTROS, C.A.";"";"Tel: (58) (295) 2638610";"Av. Bolivar, Edf.Arismar Local Pb, Porlamar Av. Bolivar, Bella Vista Porlamar, Venezuela";"Productos Desechables Para Médicos"
"VALMEDICA, C.A.";"";"Tel: (58) (271) 2258525";"C.C. La plata, P.B., Local 2 Av. Bolivar Valera, Venezuela";"Productos Desechables Para Médicos"
"DIGECA";"";"Tel: (58) (273) 7981665";"Av. 13a Con Calle 67 Edf. LaOrquidea, Pb, Loc 1 Central Telefonica Barinas, Venezuela";"Productos Desechables Para Médicos"
"SUPLICLINICAS, C.A.";"";"Tel: (58) (276) 3467752";"C.c. Acoprota Local 2 Planta Baja La Concordia San Cristóbal, Venezuela";"Productos Desechables Para Médicos"
"ININPRO, C.A. }";"";"Tel: (58) (241) 8587039";"Oficina 13-01, Torre 4 Av Cedeño Valencia, Venezuela";"Proyectos Agrícolas"
"ORGANIZACIÊN TELE SPICA";"";"Tel: (58) (212) 7615454";"Cl. Negrin, Torre Altocentro Local A, Sabana Grande Caracas, Venezuela";"Puertas Para Garajes"
"AG AUTOMATISMOS GENTILE, C.A.";"";"Tel: (58) (212) 2672434";"Cl. Sucre, Res. Chacao, Local 4 - Chacao - Caracas Caracas, Venezuela";"Puertas Para Garajes"
"INVERSIONES PURO CAMIÓN, C.A.";"";"Tel: (58) (244) 3521350";"Cl Colombia Nro. 114 San Mateo, Venezuela";"Puros"
"AIRE PURO INFO";"";"Tel: (58) (212) 2438525";"Caracas Caracas, Venezuela";"Puros"
"RADIADORES LA JULIA";"";"Tel: (58) (244) 6639029";"Av. Internacional Turmero, Venezuela";"Radiadores"
"RADIADORES SUAREZ, C.A.";"";"Tel: (58) (242) 3642128";"Avenida Paz Puerto Cabello, Venezuela";"Radiadores"
"RADIADORES ISAMIR";"";"Tel: (58) (251) 4466526";"Calle 35, E/Crs 23 Y 24 Barquisimeto, Venezuela";"Radiadores"
"RADIADORES LOS ANDES";"";"Tel: (58) (276) 3567283";"Barrio Obrero San Cristóbal, Venezuela";"Radiadores"
"RADIADORES MÉRIDA";"";"Tel: (58) (274) 2528667";"Avenida 7 Mérida, Venezuela";"Radiadores"
"LA NUEVA CASA DEL EMPERADOR";"";"Tel: (58) (257) 2531365";"Av. Simos Bolivar con Calle 9 Guanare, Venezuela";"Radiadores"
"RADIADORES AIROLA C.A.";"";"Tel: (58) (261) 7985989";"Calle 85, Falcón con Av.13, N³13-04 Maracaibo-Edo.Zulia Maracaibo, Venezuela";"Radiadores"
"INDUSTRY TECNHNOLOGY RADIATORS DE VENEZUELA, C.A.";"";"Tel: (58) (243) 8354860";"Av.Lisandro Alvarado, N³ 124-131 (Frente A Cabel) Valencia, Edo, Carabobo Maracay, Venezuela";"Radiadores"
"RADIADORES J&M";"";"Tel: (58) (261) 7435961";"Av. Milagro Norte Maracaibo, Venezuela";"Radiadores"
"DISTRIBUIDORES RADIADORES VALENCIA";"";"Tel: (58) (241) 8592101";"C.C. Portocarrero, P.B., Loc. 86-32 Valencia, Venezuela";"Radiadores"
"RADIADORES CALPES C.A.";"";"Tel: (58) (243) 2691866";"Av. Intercomunal Maracay-Tumero Fte. A Escuela Práctica De Agricultura Maracay, Venezuela";"Radiadores"
"RADIADORES Y REPUESTOS ALASKA";"";"Tel: (58) (275) 8816970";"Av. Bolívar, El Vigía Frente a Iveco El Vigía, Venezuela";"Radiadores"
"ESKIMO CENTRO RADIADORES";"";"Tel: (58) (241) 8084287";"Av.Padre Alfonso, Entre Rangel Y Lisandro Alvarado C.C. El Teide, Local 03 Valencia, Edo. Carabobo Valencia, Venezuela";"Radiadores"
"TALLER DE RADIADORES CHOPIN";"";"Telefax: (58) (212) 6627996";"Calle El Convento Los Chaguaramos, Valle Abajo (Detrás De La Iglesia San Pedro), Caracas Caracas, Venezuela";"Radiadores"
"TALLER JARDÍN DE VENEZUELA, S.R.L.";"";"Tel: (58) (212) 3233221";"La Mata, Los Teques Los Teques, Venezuela";"Radiadores"
"REPRESENTACIONES DITORA, C.A.";"";"Tel: (58) (212) 7940260";"Av Bnos Aires, Los Caobos, Caracas Caracas, Venezuela";"Radiadores"
"LA CASA DEL RADIADOR, C.A.";"";"Tel: (58) (269) 2466552";"Av Los Claveles Punto Fijo, Venezuela";"Radiadores"
"DISTRIBUIDORA Y SERVICIO DE RADIADORES SAN JUAN";"";"Tel: (58) (251) 4455149";"Calle 41, C/Crs, 24 Y 25, Edif. San Juan, Loc. 1 Barquisimeto, Venezuela";"Radiadores"
"RADIADORES GABRIEL, S.R.L.";"";"Tel: (58) (212) 2413489";"Calle 10, La Urbina, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES HÉRCULES, C.A.";"";"Tel: (58) (212) 2395845";"Av El Rosario, Los Chorros, Caracas Caracas, Venezuela";"Radiadores"
"SERVICIOS TECNICO DE RADIADORES LARC, S.A.";"";"Tel: (58) (286) 9512207";"Cl. Neverí, Zona Ind unare II Ciudad Guayana Puerto Ordaz, Venezuela";"Radiadores"
"ITAL-RADIADORES, S.R.L.";"";"Tel: (58) (212) 8720391";"Av El Atlántico, Catia, Caracas Caracas, Venezuela";"Radiadores"
"INDUSTRIAS FABRIPARTES VENEZUELA, C.A.";"";"Tel: (58) (212) 8630962";"Cl Real Manicomio, La Pastora, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES RAVENCA VENEZOLANOS C.A.";"";"Telefax: (58) (243) 4457655";"Carrera 21, E/Calles 49 y 50 Maracay, Venezuela";"Radiadores"
"CASA DE LOS RADIADORES";"";"Tel: (58) (212) 6327194";"Av Nva Granada, Los Rosales, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES Y ESPAPES LARECA";"";"Tel: (58) (286) 9221797";"Av. Principla de Castillito, Castillito Ciudad Guayana Puerto Ordaz, Venezuela";"Radiadores"
"RADIADORES Y PARABRISAS MONAGAS";"";"Tel: (58) (291) 6431645";"Bajo Guarapiche Maturín, Venezuela";"Radiadores"
"REPUESTOS WILMAR MJ, C.A.";"";"Tel: (58) (212) 2397259";"Montecristo, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES JUAN HERRERA";"";"Tel: (58) (251) 4461042";"Calle 41, entre Carrera 23 Y 24 Barquisimeto, Venezuela";"Radiadores"
"RADIADORES ALIANZA, C.A.";"";"Tel: (58) (242) 3642776";"La Sorpresa, Puerto Cabello Puerto Cabello, Venezuela";"Radiadores"
"MASERINCA";"";"Tel: (58) (282) 4221701";"Calle Berberia Anaco, Venezuela";"Radiadores"
"RADIADORES ROMAN, S.R.L.";"";"Tel: (58) (212) 2658780";"Calle Miranda, Chacao, Caracas Caracas, Venezuela";"Radiadores"
"TALLER INDUSTRIAL RADIADORES CORSA, C.A.";"";"Tel: (58) (243) 2330541";"La Barraca Maracay, Venezuela";"Radiadores"
"RADIADORES Y REPUESTOS IMJ, C.A.";"";"Tel: (58) (261) 7353072";"Circunvalación # 2, Richmond Maracaibo, Venezuela";"Radiadores"
"RADIADORES EDWIN";"";"Tel: (58) (295) 2744508";"Calle Velasquez, Al lado del Cementerio Nuevo Porlamar Porlamar, Venezuela";"Radiadores"
"MAXFRIO, C.A.";"";"Tel: (58) (295) 4155951";"Calle El Colegio con Av. Terranova Loca. No. 19-39 Porlamar, Venezuela";"Radiadores"
"TALLERES RACOLTA, C.A.";"";"Tel: (58) (212) 3440111";"Cl. Villa Heroica, Guatire Guatire, Venezuela";"Radiadores"
"RADIADORES NUEVA GRANADA";"";"Tel: (58) (212) 6332113";"Av Nva Granada, Los Rosales, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES INDUSTRIALES BELLO MONTE";"";"Tel: (58) (212) 9512837";"Avenida Venezuela, Frente Peña Tanguera, Bello Monte, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES EL TIGRE, S.R.L.";"";"Tel: (58) (212) 8705945";"Av Simón Bolívar, Catia, Entre 6ta. Y 7ma. Transv., Caracas Caracas, Venezuela";"Radiadores"
"DISTRIBUIDORA HERMANOS LÓPEZ S.R.L.";"";"Telefax: (58) (212) 4825506";"Delicias A Puente Paraíso, Sótano Nú 1, Parroquia San Juan, Caracas Caracas, Venezuela";"Radiadores"
"DISTRIBUIDORA DE RADIADORES M&U, C.A.";"";"Telefax: (58) (212) 6335453";"Av Nueva Granada, Entre Av Roosevelt Y Callejón Branger Taller Radimaca, Mezzanina, Los Rosales, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES SUCRE, C.A.";"";"Tel: (58) (286) 9741739";"Av. Guayana, La Unidad Ciudad Guayana Puerto Ordaz, Venezuela";"Radiadores"
"CASA DE LOS RADIADORES EL VALLE";"";"Tel: (58) (212) 6815515";"C 2 Redoma De Coche, Caracas Caracas, Venezuela";"Radiadores"
"FABRICA DE INTERCAMBIADORES AIRES ACONDICION ADOS C.A. FRIAACA";"";"Tel: (58) (257) 7662180";"Parque Industrial Tinaquillo, Carretera Nacioanl, Parcela No. 38 Tinaquil lo Guanare, Venezuela";"Radiadores"
"RADIADORES INDUSTRIALES EL TIGRE, C.A.";"";"Tel: (58) (283) 2315584";"Avenida España El Tigre, Venezuela";"Radiadores"
"RADIADORES CENTRO OCCIDENTE, S.R.I.";"";"Tel: (58) (251) 4451693";"Calle 35, E/ Crs. 22 Y 23 Barquisimeto, Venezuela";"Radiadores"
"RADIADORES DALLA COSTA";"";"Tel: (58) (286) 9314084";"Av. Principal, Dalla Costa Ciudad Guayana Puerto Ordaz, Venezuela";"Radiadores"
"RADIADORES VENEZUELA, C.A.";"";"Tel: (58) (251) 4451036";"CI. 35 E/ Carreras 23 Y 24 Barquisimeto, Venezuela";"Radiadores"
"RADIADORES EL MONO C.A.";"";"Tel: (58) (244) 3963587";"Calle Sucre C/C Mariño Cagua, Venezuela";"Radiadores"
"RADIADORES PETARE";"";"Tel: (58) (212) 2568269";"Av Francisco De Miranda C.C. Lebrún, Local Nú 14, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES ESKIMO";"";"Tel: (58) (261) 7193633";"Av La Limpia Con Calle 87 B, 10 De Octubre, Maracaibo Maracaibo, Venezuela";"Radiadores"
"RADIADORES ESKIMO DE ORIENTE C.A.";"";"Tel: (58) (281) 8084906";"Av Municipal Nro. 7, Municipal, Puerto La Cruz Puerto de  la Cruz, Venezuela";"Radiadores"
"AUTO SERVICIOS LA MONONA";"";"Tel: (58) (212) 5715978";"Boulevard Amador Bendayan Calle Real, Quebrada Honda, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES ARAYA, S.R.L.";"";"Tel: (58) (212) 2374640";"3ra. Transv. Boleíta Sur, Caracas Caracas, Venezuela";"Radiadores"
"RADICON, C.A.";"";"Tel: (58) (241) 8585359";"Av. Lara, N³ 106-58 Valencia, Venezuela";"Radiadores"
"LA CASA DE LOS RADIADORES CHACAO";"";"Tel: (58) (212) 2653542";"1ra. Av. Sur, Altamira, Caracas Caracas, Venezuela";"Radiadores"
"RADIADORES LA GUAIRA, C.A.";"";"Tel: (58) (212) 3326417";"Av Real De Pariata, Maiquetía Caracas, Venezuela";"Radiadores"
"RADIADORES PESCADOR";"";"Tel: (58) (212) 2666711";"Final Av Libertador Chacao, Caracas Caracas, Venezuela";"Radiadores"
"DISTRIBUIDORA DE RADIADORES EL ESTAÑO C.A.";"";"Tel: (58) (241) 8356754";"Av. Lisandro Alvarado Valencia, Venezuela";"Radiadores"
"RADIADORES MARA";"";"Tel: (58) (261) 7515707";"Av. L.Limpia, La Limpia Maracaibo, Venezuela";"Radiadores"
"RAVENCA-RADIADORES VENEZOLANOS C.A.";"";"Tel: (58) (251) 4457655";"Carrera 21, e/calles 49 y 50 Barquisimeto, Venezuela";"Radiadores"
"DISTRIBUIDORA DE RADIADORES VENEZOLANOS";"";"Tel: (58) (261) 7986475";"Calle 67, Entre Av.9 y 9B, Local 1 y 2, frente al Comercial Metro Cecilio Maracaibo, Venezuela";"Radiadores"
"INFRA FABRICA INDUSTRIA NACIONAL DE RADIADORES, C.A.";"";"Tel: (58) (243) 8716978";"Maracay Maracay, Venezuela";"Radiadores"
"COVA, MARITZA DE DRA.";"";"Tel: (58) (212) 5780689";"Centro Médico De Caracas San Bernardino Caracas, Venezuela";"Radioterapia"
"AMERILAB ORIENTE, C.A.";"";"Tel: (58) (281) 2867630";"Av. Intercomunal-Lecherias Lecherías, Venezuela";"Reactivos Para Laboratorios"
"LABORATORIO GEMINIS C.A.";"";"Tel: (58) (212) 2621897";"Cl. La Joya, Edif. Cosmos, Mezz, Ofics. D Y E, Chacao Caracas, Venezuela";"Reactivos Para Laboratorios"
"DISERLAB, S.A.";"";"Tel: (58) (212) 2417980";"Cl. Guaicaipuro C/C Cl. Araure C.C. Pin 10, Piso 1, Ofic. 11. El Marqués Caracas, Venezuela";"Reactivos Para Laboratorios"
"LAB - SUPPLY, C.A.";"";"Tel: (58) (251) 2692882";"Zona Industrial Ii Barquisimeto, Venezuela";"Reactivos Para Laboratorios"
"ASEAS, C.A.";"";"Tel: (58) (212) 2581930";"Torre La California Cnas. De Los Ruices Caracas, Venezuela";"Recogedores De Basura"
"INVERSIONES SABENPE C.A.";"";"Tel: (58) (212) 2370589";"Av. Francisco De Miranda, Edif. Centro Seguros La Paz, P.6, Ofic. S-61, B oleíta Norte Caracas, Venezuela";"Recogedores De Basura"
"RIESE INDUSTRIAL C.A.";"";"Tel: (58) (212) 7939720";"Torre Domus Caracas, Venezuela";"Recubrimientos Sintéticos"
"TELE PENTIUM C.A.";"";"Tel: (58) (212) 2574609";"Av. Ppal de Llanito Edf. San Remo PB Local 1 Caracas, Venezuela";"Redes Telefónicas"
"VENTILAIRE C.A.";"";"Tel: (58) (286) 9235578";"Urbanización Orinoco, Calle Oriente c/c Avenida Principal de Castillito Ciudad Guayana Puerto Ordaz, Venezuela";"Rejillas"
"ENREJADOS METÁLICOS ACEROGRILL C.A";"";"Tel: (58) (212) 2851297";"Av. Fco. De Miranda, Centro Plaza Torre B Piso 13 Urb. Los Palos Grandes, Caracas Caracas, Venezuela";"Rejillas"
"DISTRIBUIDORA UMMONTE, C.A.";"";"Tel: (58) (212) 2352340";"Av. Rómulo Gallegos, Centro Industrial Boleita Sur, Galpones 3 y 4 Caracas, Venezuela";"Rejillas"
"REMECA REJILLAS Y METALES, C.A.";"";"Telefax: (58) (241) 8327008";"Av Este-Oeste 5 Z O Municipal Norte, Valencia Valencia, Venezuela";"Rejillas"
"AEROMETAL, C.A. / REJILLAS NACIONALES, C.A.";"";"Tel: (58) (212) 2562576";"Final Av. Tamanaco, Cl. La Tinaja, Edif. Isamal, Urb. El LLanito -Caracas Caracas, Venezuela";"Rejillas"
"GRIVALREJ, S.A.";"";"Tel: (58) (241) 8236682";"Av. Andrés Eloy Blanco, Sector Santa Cecilia C.C. El Samán, Los No.1, Valencia Valencia, Venezuela";"Rejillas"
"GRALPE, C.A.";"";"Tel: (58) (245) 5717444";"La Floresta Guacará, Venezuela";"Rejillas"
"SUPULCA";"";"Tel: (58) (212) 3635435";"Urb. Ind. Cloris Av. Nte. Dos Parcela No.84-A Edo. Miranda Guarenas Guarenas, Venezuela";"Rejillas"
"MONTUENGA HNOS C.A.";"";"Tel: (58) (212) 4713549";"Cl. 11, La Yaguara Caracas, Venezuela";"Rejillas"
"BRAFICA";"";"Tel: (58) (212) 2423840";"La Urbina - Caracas Cl.10, Edif. Fibra Caracas, Venezuela";"Rejillas"
"TALLER TECNICO ELECTRODOMESTICO"VIZA"";"";"Tel: (58) (212) 4828628";"Caracas Caracas, Venezuela";"Reparación De Lavadoras"
"GRUPO QUIMAVEN C.A";"";"Tel: (58) (212) 2373323";"Cl Lecuna No 12 Y 13 Edif San Fructuoso Boleita Sur Caracas Venezuela Caracas, Venezuela";"Reparación De Lavadoras"
"RADIADORES LOS ANDES";"";"Tel: (58) (276) 3567283";"Barrio Obrero San Cristóbal, Venezuela";"Reparación De Radiadores"
"RADIADORES MÉRIDA";"";"Tel: (58) (274) 2528667";"Avenida 7 Mérida, Venezuela";"Reparación De Radiadores"
"CASA DE RADIADORES MONKEY, C.A.";"";"Tel: (58) (243) 5539974";"Frente A La Plaza El Ancla Avenida Mérida Maracay, Venezuela";"Reparación De Radiadores"
"RADIADORES AIROLA C.A.";"";"Tel: (58) (261) 7985989";"Calle 85, Falcón con Av.13, N³13-04 Maracaibo-Edo.Zulia Maracaibo, Venezuela";"Reparación De Radiadores"
"RADIADORES LA ERMITA, C.A.";"";"Tel: (58) (276) 3445370";"La Ermita San Cristóbal, Venezuela";"Reparación De Radiadores"
"LA FÁBRICA DEL RADIADOR";"";"Tel: (58) (261) 7524245";"Av.28B-63-76, detrás de la Estación de Servicio La Fusta Vía Amparo Maracaibo, Venezuela";"Reparación De Radiadores"
"RADIADORES Y REPUESTOS ALASKA";"";"Tel: (58) (275) 8816970";"Av. Bolívar, El Vigía Frente a Iveco El Vigía, Venezuela";"Reparación De Radiadores"
"SUPLISER";"";"Tel: (58) (282) 4243971";"Distribuidor Miranda, carretera Nacional Barcelona-El Tigre, Anaco Anaco, Venezuela";"Reparación De Válvulas Para Gas"
"AEROCENTRO DE SERVICIOS, C.A.";"";"Tel: (58) (212) 9590401";"Caracas Caracas, Venezuela";"Repuestos Para Aviones"
"THE SOLO AVIATION SISTEMS, C.A.";"";"Tel: (58) (239) 2240255";"Arpto Metropolitano, Ocumare Del Tuy Ocumare del Tuy, Venezuela";"Repuestos Para Aviones"
"MOTO LIDER";"";"Tel: (58) (212) 7513613";"Av Ppal De Colinas De Bello Monte, Edif. Kassel, Local P.B., Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"MOTO SPEED HIGH 7, C.A.";"";"Tel: (58) (212) 7623915";"Sabana Grande, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
"MOTO SERVICIOS MAREMOTO";"";"Tel: (58) (247) 8086475";"Calle Muñoz, Nro. 109 Antiguo Solar De La Abuela San Fernando de Apure, Venezuela";"Repuestos Para Motocicletas"
"GRUPO 3HF C.A.";"";"Tel: (58) (212) 2427360";"Cl 8, La Urbina Caracas, Venezuela";"Repuestos Para Motocicletas"
"GERMAN HERNÁNDEZ MOTO";"";"Tel: (58) (243) 2461625";"El Hipódromo Maracay, Venezuela";"Repuestos Para Motocicletas"
"MOTO IDEAL, C.A.";"";"Tel: (58) (212) 7541011";"Cl Chopín, Edif. Goya Colinas De Bello Monte, Caracas Caracas, Venezuela";"Repuestos Para Motocicletas"
