"CARRES";"";"Tel: (58) (244) 3225796";"Zona Industrial CI Presidente La Victoria, Venezuela";"Acarreos"
"PROMOCIONES LEANSEC";"";"Tel: (58) (212) 4840469";"Centro Empresarial Cipreses, Caracas Caracas, Venezuela";"Publicidad En Radio Y Televisión"
"ACTIVA 93.1 FM";"";"Tel: (58) (243) 2461021";"Negro Primero CI. Negro Primero Maracay, Venezuela";"Publicidad En Radio Y Televisión"
"AMERICATEL";"";"Tel: (58) (212) 7004747";"Av orinoco entre Calles Perijá y Mucuchíes Edif 453, Las Mercedes Caracas, Venezuela";"Publicidad En Radio Y Televisión"
"CCI & ASOCIADOS PUBLICIDAD,C.A.";"";"Tel: (58) (241) 8259835";"Valencia Valencia, Venezuela";"Publicidad En Radio Y Televisión"
"MULTIMEDIOS STAR, C.A.";"";"Tel: (58) (212) 9938557";"Cl. parís con New York - Las Mercedes Caracas, Venezuela";"Publicidad En Radio Y Televisión"
"FENIX ADVERTISING C.A.";"";"Tel: (58) (212) 9522879";"Av. Francisco de Miranda Urb. Campo Alegre. Edif. Roraima, Piso 14 Chicao Caracas Caracas, Venezuela";"Publicidad En Radio Y Televisión"
"LEO BURNETT VENEZUELA C.A.";"";"Tel: (58) (212) 9554000";"Av. Francisco de Miranda, El Rosal Caracas, Venezuela";"Publicidad En Radio Y Televisión"
"METALÚRGICA LEMA D & D, C.A.";"";"Tel: (58) (212) 5783168";"Cl. Mérida,galpón No. 26, Urb. Guaicapuro Norte, Sarria Caracas Caracas, Venezuela";"Puertas"
"CONSTRUMINIO GÓMEZ, S.R.L.";"";"Telefax: (58) (212) 2572911";"Cl. La Línea, El Llanito Caracas, Venezuela";"Puertas"
"METALURGICA SOLAR DE MARACAIBO";"";"Tel: (58) (264) 7867595";"Parcelamiento Santa Isabel Av, Casa 71-1-82 La Chamarreta Cabimas, Venezuela";"Puertas"
"INDUSTRIA METALÚRGICAS SIAL III";"";"Tel: (58) (212) 8734034";"Caracas Caracas, Venezuela";"Puertas"
"ALUMINIOS BRITO DE VENEZUELA";"";"Telefax: (58) (212) 8649931";"Primera Transvesal , Entre Calle Estadios Y Real Loc. No. 2-7, Urb. Alta Vista Caracas, Venezuela";"Puertas"
"ASERRADERO COVEMAT, C.A.";"";"Telefax: (58) (245) 5647770";"Guacara Guacará, Venezuela";"Puertas"
"ALUBAVENCA FÁBRICA DE PUERTAS Y VENTANAS, S.R.L.";"";"Tel: (58) (212) 8602410";"Caracas Caracas, Venezuela";"Puertas"
"MADERAS MIRANDA C.A";"";"Tel: (58) (212) 3635901";"Zona Ind Los Naranjos De Guarenas Interseccion Av La Ind Con Av Maturín P arcela 8, Mz 5, Urb Santa Cruz Guarenas Estado Miranda Venezuela Guarenas, Venezuela";"Puertas"
"ALUMINGLASS 2010, C.A.";"";"Telefax: (58) (212) 2512468";"2da. Calle La Industrial, Galpón No.20, Zona Ind.de Palo Verde, Caracas Caracas, Venezuela";"Puertas"
"P J ASOCIADOS";"";"Tel: (58) (281) 2817462";"Calle 4,No.3-34 Lecherias Lecherías, Venezuela";"Puertas"
"CONSTRUCCIONES METALICAS EL VENADO S.R.L.";"";"Tel: (58) (212) 5421824";"Cl. Venado a Río, No. 197-A Urb. Santa Rosalia. Caracas, Venezuela";"Puertas"
"CRISTALERIA ROAN S.R.L.";"";"Tel: (58) (212) 3440630";"Av. Villa Heróica Guatire, Venezuela";"Puertas"
"VIEXCA";"";"Tel: (58) (286) 9521487";"Av. Pso. Caroni Unare I Ciudad Guayana Puerto Ordaz, Venezuela";"Puertas"
"ALUMI HOGAR";"";"Tel: (58) (212) 4161557";"Av.La Paz, Urb. Bella Vista, Calle La Guayanita, Ctro Liber Caracas, Venezuela";"Puertas"
"INDUSTRIAS PARKING";"";"Tel: (58) (261) 5168370";"Calle 16, N³ 11-40, Local 01, Edif. Don Pedro a 1/2 cuadra del Teatro Cin elandia. La Romera San Cristobal Maracaibo, Venezuela";"Puertas"
"PUENTES PLEGABLES AVILA, S.R.L.";"";"Tel: (58) (286) 9226827";"Cl. Los Llanos Castillito Ciudad Guayana Puerto Ordaz, Venezuela";"Puertas"
"CRISTALERÍA GOLDEN GLASS, C.A.";"";"Tel: (58) (212) 2851137";"Los Palos Grandes Caracas, Venezuela";"Puertas"
"CENTRO MADERERO SAN MARTIN C.A";"";"Tel: (58) (212) 4520100";"Galpon No-07 Av San Martin, San Martin Caracas, Venezuela";"Puertas"
"CRISTALERIA GREGORINO, C.A.";"";"Tel: (58) (212) 4223403";"El Junquito - E Junquito Caracas, Venezuela";"Puertas"
"MATERIALES FERRARO,C.A.";"";"Tel: (58) (281) 2673854";"Cll Simon Rodriguez,LC 29 y 31 Puerto de  la Cruz, Venezuela";"Puertas"
"CRISTALERÍA NAPOLI, S.R.L.";"";"Tel: (58) (212) 7307001";"Av. Avila, La Florida Caracas, Venezuela";"Puertas"
"CRISTAL. MARQ. J & Y, C.A.";"";"Tel: (58) (212) 8604697";"Av. Baralt, La Pastora, Guatire Guatire, Venezuela";"Puertas"
"CONSTRUCCIONES METALICAS EL VENADO S.R.L.";"";"Tel: (58) (212) 5421824";"Cl. Venado a Río, No. 197-A Urb. Santa Rosalia. Caracas, Venezuela";"Puertas Enrollables"
"METALÚRGICA LEMA D & D, C.A.";"";"Tel: (58) (212) 5783168";"Cl. Mérida,galpón No. 26, Urb. Guaicapuro Norte, Sarria Caracas Caracas, Venezuela";"Puertas Enrollables"
"LHERCAROMA";"";"Tel: (58) (212) 2373510";"Boleita Sur, Caracas Caracas, Venezuela";"Químicos Industriales"
"J M INDUSTRIAS, C.A.";"";"Tel: (58) (261) 7649534";"Av. 16 A, Los Haticos Maracaibo, Venezuela";"Químicos Industriales"
"SINTHESIS, C.A.";"";"Tel: (58) (212) 9442970";"Calle Luis Camoens, Edif. Centro Clover Piso 1, Ofic. 1-E, La Trinidad C aracas Caracas, Venezuela";"Químicos Industriales"
"CORPORACIÊN QMV, S.A.";"";"Tel: (58) (212) 9920089";"Caracas Caracas, Venezuela";"Químicos Industriales"
"FASE QUÍMICA, S.A.";"";"Tel: (58) (241) 8533703";"La Florida-Valencia Valencia, Venezuela";"Químicos Industriales"
"SUPLIQUIM C.A.";"";"Tel: (58) (261) 7975876";"Oficina Principal Maracaibo, Venezuela";"Químicos Industriales"
"BIOFLUIDOS DE OCCIDENTE, C.A.";"";"Tel: (58) (276) 3565238";"Zona Industrial Paramillo San Cristóbal, Venezuela";"Químicos Industriales"
"PROQUIM, C.A.";"";"Tel: (58) (212) 2093500";"Caracas Caracas, Venezuela";"Químicos Industriales"
"FERINCA";"";"Tel: (58) (212) 9444198";"Av. San Sebastian C.C. Cl. BolÙvar, Edif. Gra-mer SÊtano, Local 2 Caracas, Venezuela";"Químicos Industriales"
"GENERICOS GUAYANA, S.A.";"";"Tel: (58) (276) 3441027";"Av. Guayana San Cristóbal, Venezuela";"Químicos Industriales"
"BJR QUIMICA, C.A.";"";"Tel: (58) (244) 3224642";"Zona Ind. La Mora La Victoria La Victoria, Venezuela";"Químicos Industriales"
"HIDROSERVICES";"";"Tel: (58) (276) 7210865";"Calle 87, Av. 8, N³ 7B - 70, Santa Rita San Cristóbal, Venezuela";"Químicos Industriales"
"DROGUERÙA RIFAGAR, C.A.";"";"Telefax: (58) (212) 8606284";"Cl. La Loma #19, Manicomio Caracas, Venezuela";"Químicos Industriales"
"H.O. QUIMICA DH, C.A.";"";"Tel: (58) (212) 9414443";"Cl. La Pradera, Edif. Ind. Guaicay, Minas de Baruta Caracas, Venezuela";"Químicos Industriales"
"AG ALQUIDIM,S.R.L.";"";"Tel: (58) (243) 5514797";"Maracay Maracay, Venezuela";"Químicos Industriales"
"INVERSIONES CHEMIMPORT, C.A.";"";"Telefax: (58) (212) 2394271";"Los Cortijos Caracas, Venezuela";"Químicos Industriales"
"DROGUERÙA QUIMIMARKET, C.A.";"";"Tel: (58) (212) 2427606";"La Urbina Caracas, Venezuela";"Químicos Industriales"
"BASF VENEZOLANA S.A. - BASF THE CHEMICAL CO.";"";"Tel: (58) (212) 2560011";"Caracas Caracas, Venezuela";"Químicos Industriales"
"EMPRESAS DOXA, C.A. EMDOCA";"";"Tel: (58) (276) 7358301";"Av. 12 entre calles 19 y 20, N³ 19-40, Sierra Maestra San Cristóbal, Venezuela";"Químicos Industriales"
"DONVIC";"";"Tel: (58) (212) 7363350";"Zona Ind. 2da. Etapa, Calle 148-A, detras C.C. NASA Caracas, Venezuela";"Químicos Industriales"
"SUMINISTROS QUIMICOS,C.A.";"";"Tel: (58) (241) 8346819";"Z.I:Municipal Norte Calle 84 No 61-989 Parcela 289 Valencia, Venezuela";"Químicos Industriales"
"LA GRAN TIENDA QUIMICA DEL ZULIA";"";"Tel: (58) (261) 7539224";"Av. 74, Nú 74B-31, Urb. Gilcon C.C. kon Capital, Locs. 4 y 5 Maracaibo, Venezuela";"Químicos Industriales"
"DARI QUIM, C.A.";"";"Tel: (58) (276) 7533784";"Av. La Limpia (Diagonal al Mercado Periferico) Maracaibo. Edo Zulia San Cristóbal, Venezuela";"Químicos Industriales"
"CLARIANT";"";"Tel: (58) (261) 7363243";"II Etapa de la Z. Ind. de Maracaibo, Calle, N³ 148, (detras del C.C. NASA Municipio de San Francisco, Maracaibo - Edo. Zulia Maracaibo, Venezuela";"Químicos Industriales"
"PRODUCTORA QUIMICA INDUSTRIAL DE VENEZUELA, C.A.";"";"Tel: (58) (276) 7345631";"Calle 13, entre Avs, 8 y 9, N³ 8-68, Sierra Maestra, Maracaibo, Venezuela San Cristóbal, Venezuela";"Químicos Industriales"
"TOP QUIM, C.A.";"";"Tel: (58) (261) 7292885";"Cañada Honda, Calle 96 La Florida Maracaibo, Venezuela";"Químicos Industriales"
"ATRACCIONES INFANTILES JUMPILINES";"";"Tel: (58) (212) 3392293";"Urb. Prados Del Este Caracas, Venezuela";"Recreacionistas"
"CRYSTAL DROP";"";"Tel: (58) (241) 2411420";"Av Principal La Corporativa Loc 4 Valencia, Venezuela";"Refrescos Y Bebidas"
"CERVECERIA POLAR C.A";"";"Tel: (58) (212) 7306111";"Modelo Caracas, Venezuela";"Refrescos Y Bebidas"
"TRANSPORTE TRASANDINO VILLARREAL";"";"Tel: (58) (212) 4844112";"Caño Amarillo Caracas, Venezuela";"Refrescos Y Bebidas"
"AGUA MINERAL ZENDA";"";"Tel: (58) (212) 3236545";"Planta Los Teques Caracas, Venezuela";"Refrescos Y Bebidas"
"EMBOTELLADORA AGUIA CLARITA C.A.";"";"Tel: (58) (286) 9741797";"UD-110 Av. Guayana Sc. San Rafael, San Felix Ciudad Guayana Puerto Ordaz, Venezuela";"Refrescos Y Bebidas"
"MADERAS UNIDAS DE ZULIA, S.A.";"";"Telefax: (58) (212) 2900734";"Ct. Petare St Lucía Km. 2, Urb. Filas De Mariche Filas de Mariche, Venezuela";"Refrescos Y Bebidas"
"EL VITAL LÍQUIDO Y L B, C.A.";"";"Tel: (58) (212) 2850178";"Caracas Caracas, Venezuela";"Refrescos Y Bebidas"
"FRICAVA, C.A.";"";"Tel: (58) (239) 2311907";"Santa Teresa De Tuy, Sector La Raiza Santa Teresa, Venezuela";"Refrescos Y Bebidas"
"PEMO C.A.";"";"Tel: (58) (261) 7496656";"Zona Industrial Nte Maracaibo, Venezuela";"Refrescos Y Bebidas"
"RECUPERADORA CAZORLA, C.A.";"";"Tel: (58) (241) 8942986";"Tocuyito Via de Servicio Tocuyito, Venezuela";"Refrescos Y Bebidas"
"PINOVA, S.A.";"";"Tel: (58) (212) 3728011";"An A De Los Altos San Antonio De Los Altos, Venezuela";"Refrescos Y Bebidas"
"INTIOZON";"";"Tel: (58) (241) 8247177";"Av.Bolívar Norte Centro Comercial Viñedo Plaza, 2³ Nivel, Locales 11 y 12 Valencia, Venezuela";"Refrescos Y Bebidas"
"YU-LIFT DE VENEZUELA C.A";"";"Telefax: (58) (241) 8714555";"Cl 97 Urb Castillito Centro Empresarial Palmi II Loc 6 Valencia Edo Carab obo Venezuela Valencia, Venezuela";"Refrescos Y Bebidas"
"METAFIBRAS SUDAMERIS, C.A.";"";"Tel: (58) (212) 5321740";"Km. 7, Carret. Petare-Sta. Lucía Conjunto Ind. Del Este, Parcela D-3 Fila s De Mariche, Edo. Miranda Filas de Mariche, Venezuela";"Refrescos Y Bebidas"
"MULTI FRUIT C.A.";"";"Tel: (58) (254) 2312772";"Carretera Vía Aeropuerto, sector "La Morita" San Felipe, Venezuela";"Refrescos Y Bebidas"
"AGUA LA PATRONA TREMONTI";"";"Tel: (58) (286) 2638168";"Oficina Prlemar Ciudad Guayana Puerto Ordaz, Venezuela";"Refrescos Y Bebidas"
"FURGO ESTACAS C.A.";"";"Tel: (58) (251) 3500414";"Vía Quibor, Km 5 Av. Principal Del Caribe, Cl.1, Vereda 1, Gálpón 1-2 Barquisimeto, Venezuela";"Refrescos Y Bebidas"
"AJEVEN";"";"Tel: (58) (261) 6130224";"Zona Ind. Cl. Los Robles, Local 27-151 Detrás Del Hipermercado Exito, Maracaibo Maracaibo, Venezuela";"Refrescos Y Bebidas"
"METALCORP, C.A.";"";"Tel: (58) (212) 3639437";"Av. Norte 2, Zona Ind Cloris, Galpón 83-03, Metalcorp, Guarenas Guarenas, Venezuela";"Refrescos Y Bebidas"
"OTECNAGUA, C.A.";"";"Tel: (58) (281) 6936718";"Av minerva Las Acacias Lecherías, Venezuela";"Refrescos Y Bebidas"
"AGUA ORIENTE PROINAMOCA";"";"Tel: (58) (291) 6518173";"Frente A la Plaza de Fundemos Av. El Ejercito Maturín, Venezuela";"Refrescos Y Bebidas"
"DISTRIBUIDROA SILVA, S.R.L.";"";"Tel: (58) (248) 5210764";"Al Frente de la C.V.G. No. 44 Puerto Ayacucho, Venezuela";"Refrescos Y Bebidas"
"AGUA MINERAL BERRITZ, C.A.";"";"Tel: (58) (271) 2311919";"Av. Bolibar, Las Acacias Valera, Venezuela";"Refrescos Y Bebidas"
"AGUA MINERAL LAS PALMERAS, C.A.";"";"Tel: (58) (276) 3468455";"Ct Vía Los Llanos, La Pedrera San Cristóbal, Venezuela";"Refrescos Y Bebidas"
"HIDROPOTABLE VARYNA, C.A.";"";"Tel: (58) (273) 5529663";"Ct Nacional Barinas, Venezuela";"Refrescos Y Bebidas"
"MADERERA INDUSTRIAL VENEZOLANA C.A";"";"Telefax: (58) (251) 2323986";"Crr. 17 entre Calles 19 y 20 Edif. Civiletto P, OFIcina No 1- Barquisimeto, Venezuela";"Refrescos Y Bebidas"
"ASERRADERO LA ESTIVA C.A";"";"Tel: (58) (212) 3623693";"Zona Ind.Cloris Guarenas, Venezuela";"Refrescos Y Bebidas"
"INDUSTRIAS CAMATAGUA, C.A.";"";"Tel: (58) (212) 5290267";"Sc L Candelaria Caracas, Venezuela";"Refrescos Y Bebidas"
"CIPRAM, C.A.";"";"Tel: (58) (251) 2690787";"Av. Moyetones, Zona Industrial III Barquisimeto, Venezuela";"Refrescos Y Bebidas"
"PALETAS LOS GUAYOS, S.A";"";"Tel: (58) (241) 8384960";"Bilovar Los Guayos Cl Mariño Valencia, Venezuela";"Refrescos Y Bebidas"
"MADERERA LA OJADEÑA, C.A.";"";"Tel: (58) (241) 5716808";"Urb. Ind. Los Guayos, Galpon 8 Valencia, Venezuela";"Refrescos Y Bebidas"
"MADERAS CORINSA, C.A.";"";"Tel: (58) (244) 5645833";"Cl. Cpo Alegre, Zona Ind. Las Vegas Cagua, Venezuela";"Refrescos Y Bebidas"
"PRISMA";"";"Tel: (58) (241) 8531557";"Carretera Nacional Valencia Tocuyito, San Luis Valencia, Venezuela";"Refrescos Y Bebidas"
"CENTRAL DE SERVICIOS TÉCNICOS METROPOLITANOS";"";"Tel: (58) (212) 9442416";"Cl. El Rosario Las Minas De Baruta Caracas, Venezuela";"Refrescos Y Bebidas"
"ESTANTERIAS OFISIT";"";"Tel: (58) (212) 4712256";"Urb Industrial La Yaguara 2da Tv Edif Ofisit Caracas, Venezuela";"Refrescos Y Bebidas"
"DISTRIBUIDORA CRISTALINA, C.A.";"";"Tel: (58) (212) 2377159";"Cl Lecuna No. 11, Boleíta Caracas, Venezuela";"Refrescos Y Bebidas"
"AGUASANTA";"";"Tel: (58) (241) 6184273";"Tocuyito Valencia, Venezuela";"Refrescos Y Bebidas"
"PLASTICOS MOLDEADOS DECOCAR, C.A.";"";"Tel: (58) (212) 3444320";"Master - Caracas Caracas, Venezuela";"Refrescos Y Bebidas"
"CENTRO REGIONAL DRAFT 777 CA";"";"Tel: (58) (212) 9880478";"El Cafetal Caracas, Venezuela";"Refrescos Y Bebidas"
"CA CERVECERA NACIONAL";"";"Tel: (58) (212) 9539266";"El Rosal Caracas, Venezuela";"Refrescos Y Bebidas"
"COCA COLA FEMSA";"";"Tel: (58) (212) 3223397";"Los Teques Caracas Los Teques, Venezuela";"Refrescos Y Bebidas"
"COCA- COLA F E M SA DE VENEZUELA, S.A.";"";"Tel: (58) (261) 7363376";"Ct. Via El MojÈn, Canchancha Maracaibo, Venezuela";"Refrescos Y Bebidas"
"FRUTIKABRERA C.A";"";"Tel: (58) (249) 7932055";"Cr Paramericana Media Agua Bejuma, Venezuela";"Refrescos Y Bebidas"
"MAGNA C.A.";"";"Tel: (58) (261) 7414917";"Av. 12 con Calle 25 Urb. Csanta Claro Maracaibo, Venezuela";"Reguladores Para Gas"
"GRÚAS HIDALGO";"";"Tel: (58) (241) 8482089";"Ricardo Urriera Valencia, Venezuela";"Remolques"
"SEMIREMOLQUES Y REMOLQUES TASCA C.A. SYRTA C. A.";"";"Tel: (58) (245) 5715194";"Carretera Nacional Los Guayos, Sector Las Garcitas, Vía Mozanga, Frente Transporte Hermanos Ferrari, Los Guayos, Edo. Carabobo, Guacara Guacará, Venezuela";"Remolques"
"D©INNOCENZO FÁBRICA REMOLQUES NACIONALES C.A.";"";"Tel: (58) (251) 2481411";"Carretera Charallave - Cúa, Km. 1, Estado Miranda Barquisimeto, Venezuela";"Remolques"
"INDUSTRIAS FREE WAYS";"";"Tel: (58) (274) 2213392";"Zona Industrial La Variante,Lagunillas Edo.Merida 5138 Ejido, Venezuela";"Remolques"
"TALLERES CARABOBO, C.A.";"";"Telefax: (58) (241) 8324794";"Urb. Ind. Carabobo, 8va. Transv. Parcela R-10-A, Valencia, Venezuela Valencia, Venezuela";"Remolques"
"FARENACA FÁBRICA REMOLQUES NACIONALES C.A.";"";"Tel: (58) (249) 2480962";"Carretera Charallave, Cúa, Km.1, Estado Miranda Miranda, Venezuela";"Remolques"
"SPILFER C.A.";"";"Tel: (58) (212) 6823070";"Carretera Panamericana, Km.8, Vía Los Teques Caracas Caracas, Venezuela";"Remolques"
"TALLER EL RETOÑO METEC, C.A.";"";"Tel: (58) (251) 2692532";"Circ. Norte, Sec. Las Tinajas Barquisimeto, Venezuela";"Remolques"
"METALURGICA MERIDIONAL, C.A.";"";"Tel: (58) (251) 2666402";"Cl. 4, El Sisal Barquisimeto, Venezuela";"Remolques"
"REMOLQUES AGAMAR C.A.";"";"Tel: (58) (244) 4473887";"Zona Industrial Campo Alegre, Entrada Urb. Crinsa, Cagua, Edo Aragua Cagua, Venezuela";"Remolques"
"INDUSTRIAS METALURGICAS MENDOZA, S.A. IMMENSA";"";"Tel: (58) (251) 7175101";"Br. La Batalla Barquisimeto, Venezuela";"Remolques"
"ROMANAS TEBABASCA";"";"Tel: (58) (276) 3410395";"3ra. Etapa Zona Ind. Puente Real Sector La Colina, San Cristobal San Cristóbal, Venezuela";"Reparación De Básculas Y Balanzas"
"E. CHACION, C.A.";"";"Tel: (58) (244) 4478352";"Cl Rondón Nte Cagua, Venezuela";"Reparación De Básculas Y Balanzas"
"BALANZAS VALENCIA EL PESO EXACTO!";"";"Tel: (58) (241) 8250046";"Valencia Valencia, Venezuela";"Reparación De Básculas Y Balanzas"
"SERF, C.A.";"";"Tel: (58) (241) 8254530";"Camoruco Valencia, Venezuela";"Reparación De Cámaras Fotográficas"
"ALRUSZ ELECTRONICS, CA";"";"Tel: (58) (212) 2561986";"Av Principal Macaracuay Caracas, Venezuela";"Reparación De Cámaras Fotográficas"
"PIÑA MUSICAL,C.A.";"";"Tel: (58) (212) 9598794";"Ccct-Caracas Centro- Caracas Caracas, Venezuela";"Reparación De Instrumentos Musicales"
"CASA MUSICAL MEZQUITE";"";"Tel: (58) (212) 5414702";"Av Sur O Santa Teresa Caracas, Venezuela";"Reparación De Instrumentos Musicales"
"ZEMERATH";"";"Tel: (58) (212) 7539782";"Av.Ppal.Bello Monte, C.C.Bello Monte, Mezz.1, Ofic.12 Caracas, Venezuela";"Reparación Y Mantenimiento De Equipos Para Laboratorio"
"Distrilijas y Parafinados";"distriparafinados@gmail.com";"Cel.: (58) 3117621344";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Reposterías"
"NATIE'S CAKES, C.A.";"";"Tel: (58) (212) 6304377";"C.C. Arta Caracas, Venezuela";"Reposterías"
"AIR ALTA REPOSTERIA";"";"Tel: (58) (212) 9860505";"Los Naranjos Caracas, Venezuela";"Reposterías"
"BOUTIQUE DEL REPOSTERO";"";"Tel: (58) (212) 7628717";"Sabana Grande Caracas, Venezuela";"Reposterías"
"ESPECIALIDADES REPOSTERAS ALEXANDRA TAUREL";"";"Tel: (58) (212) 2576245";"Av. Tamanaco El LLanito Caracas, Venezuela";"Reposterías"
"PASTEL GOURMET";"";"Tel: (58) (261) 7432478";"Tierra Negra Maracaibo, Venezuela";"Reposterías"
"EL PUNTO REPOSTERO SP, C.A.";"";"Tel: (58) (212) 3419243";"Av. 19 De Abril C.C. Bolivar Edf. Jerico, Lc. 1 Y 2 Guatire, Venezuela";"Reposterías"
"BOGA INTERNACIONAL";"";"Tel: (58) (212) 9516923";"Centro Arta Lc. 2-10 Av. Fco Miranda, Chacaito Chacaíto , Venezuela";"Reposterías"
"CAKE FACTORY, C.A.";"";"Tel: (58) (212) 945965";"C.C. Los Samanes P.B. Lc. 16 Caracas, Venezuela";"Reposterías"
"VICTORIA EUGENIA REPOSTERIA";"";"Tel: (58) (212) 5637208";"Av. Panteón San Jose Caracas, Venezuela";"Reposterías"
"REPOSTERIA CASA NERIDA";"";"Tel: (58) (212) 8622838";"Esq. Amadores A Urapal, Casa No.70 La Pastora Caracas, Venezuela";"Reposterías"
"GALA REPOSTERIA";"";"Tel: (58) (212) 2659057";"Chacao Caracas, Venezuela";"Reposterías"
"PASTRY'S";"";"Tel: (58) (212) 7203313";"C.C. Plaza Las Americas, P.B. Nivel Oro El Cafetal Caracas, Venezuela";"Reposterías"
"Q CHIS, C.A.";"";"Tel: (58) (212) 2356714";"C.C. Aloa, Urb. Horizonte Caracas, Venezuela";"Reposterías"
"EL COLIBRI C.A";"";"Tel: (58) (264) 2412406";"Ctro Cívico, Cabimas Cabimas, Venezuela";"Reposterías"
"CHUPY'S";"";"Tel: (58) (257) 2533484";"Cr. 5ta, E/Cl 13 y 14 Guanare, Venezuela";"Reposterías"
"LA CASA DE LAS TORTAS";"";"Tel: (58) (275) 8818022";"No. 1-93 Av 13 El Carmen El Vigía, Venezuela";"Reposterías"
"DOÑA EDITH";"";"Tel: (58) (212) 9639808";"El Hatillo Caracas, Venezuela";"Reposterías"
"TORTAS CASERAS DE VENEZUELA";"";"Tel: (58) (261) 7529378";"Final Cl 72 Con Av 26 Sector Plaza Las Madres Maracaibo, Venezuela";"Reposterías"
"TORTAS LA QUINCE";"";"Tel: (58) (276) 3437404";"Cr 15, Barrio Obrero San Cristóbal, Venezuela";"Reposterías"
"PLASTISUR C.A";"";"Tel: (58) (261) 7233845";"Bloque 5 Pasillo 10 Local 11 Y 12 Cl 100, Mercado Las Pulgas Maracaibo, Venezuela";"Reposterías"
"LA TORTA C.A";"";"Tel: (58) (261) 7972812";"C.C Landia, Pb Maracaibo, Venezuela";"Reposterías"
"IMROCA";"";"Tel: (58) (265) 6316139";"Arterial 7, Edif. Colonia Lopez B. No. 1, Ciudad Ojeda, Edo. Zulia Ciudad Ojeda, Venezuela";"Repuestos Electrónicos Para Maquinaria Industrial"
"SUPER TERN TACHIRA S.R.L.";"";"Tel: (58) (261) 3475126";"La Concordia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"RODAMIENTOS Y REPUESTOS SUR, C.A.";"";"Tel: (58) (261) 7355544";"Cl.13 Sierra Maestra Lc.4-89 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"ALPHA 2000 C.A.";"";"Tel: (58) (261) 3479072";"Cr.10 La Concordia Maracaibo, Venezuela";"Repuestos Para Camionetas"
"TALLER NICOLA";"";"Telefax: (58) (251) 3466315";"La Concordia Barquisimeto, Venezuela";"Repuestos Para Camionetas"
"DACOTACARS, C.A.";"";"Tel: (58) (261) 7178954";"Av.Goajira Maracaibo, Venezuela";"Repuestos Para Camionetas"
"LA CASA DEL CROCHE, C.A.";"";"Tel: (58) (243) 2358519";"Av Fzas Aéreas, Maracay Maracay, Venezuela";"Repuestos Para Camionetas"
"AUTO CARRO C.A.";"";"Tel: (58) (271) 2251045";"Auto Carro C.A. Valera, Venezuela";"Repuestos Para Camionetas"
"TOYO FUN C.A";"";"Tel: (58) (243) 2321876";"Av Constitución Este Sector La Barraca Edif. San Ramón Local 01, Maracay Maracay, Venezuela";"Repuestos Para Camionetas"
"REDIFOCA";"";"Tel: (58) (276) 3467812";"Calle 1 Con Carrera 9 Nú 9-105 La Concordia Juan Maldonado, San Cristobal San Cristóbal, Venezuela";"Repuestos Para Camionetas"
"SCANVOL VENEZUELA C.A";"";"Tel: (58) (212) 7627396";"Caracas Caracas, Venezuela";"Repuestos Para Camionetas"
"AUTO REPUESTOS MERCIBUS, SRL";"";"Tel: (58) (212) 4516943";"Av. Washington Con Calle República, Quinta Antonieta El Paraíso. (Detrás Iglesia La Coromoto) - Caracas Caracas, Venezuela";"Repuestos Para Camionetas"
"FRENOS SABANETA";"";"Tel: (58) (261) 3468515";"Ct.Km 3, Sabaneta Maracaibo, Venezuela";"Repuestos Para Camionetas"
"M & M IMPORT & EXPORT, C.A.";"";"Tel: (58) (261) 7643940";"Av.La Limpia Cl.78-B Entre Av.45-46 No.57-223 Antigua Restitoca Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS JOSMAR, C.A.";"";"Tel: (58) (276) 7714986";"Av.Venezuela San Antonio del Táchira, Venezuela";"Repuestos Para Camionetas"
"CENTRAL ASI, C.A.";"";"Tel: (58) (261) 7885007";"Circunvalación 2 Maracaibo, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS ORLANDO C.A.";"";"Tel: (58) (251) 3472364";"Cr.10 La Concordia Barquisimeto, Venezuela";"Repuestos Para Camionetas"
"IMPORTADORA IBEROAMERICANA DE REPUESTOS Y AUTOPARTES, S.A.";"";"Tel: (58) (276) 7875451";"Carrera 2 No.2-95 La Peza Ureña, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS K.V.";"";"Tel: (58) (251) 9282606";"La Concordia Barquisimeto, Venezuela";"Repuestos Para Camionetas"
"REPUESTOS LA 16";"";"Tel: (58) (261) 2630761";"Av.16 De Septiembre Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AUTOACCESORIOS MONACO S.R.L.";"";"Tel: (58) (261) 7514444";"Av. La Limpia La Fusta Maracaibo, Venezuela";"Repuestos Para Camionetas"
"AMERICAN TUNNING C.A";"";"Tel: (58) (243) 2325518";"Av Las Delicias C.C Las Américas Maracay, Venezuela";"Repuestos Para Camionetas"
"SERVI REPUESTOS LA REDOMA";"";"Tel: (58) (261) 3436308";"Av.Libertador Maracaibo, Venezuela";"Repuestos Para Camionetas"
