"ACADEMIA DE BELLEZA KISMET";"";"Tel: (58) (212) 2659143";"Av Fco De Miranda Edif Los Llanos, Chacao Caracas, Venezuela";"Academia De Belleza"
"GONCALVES D., JUAN G.";"";"Tel: (58) (212) 9854041";"Av. Ppal. De Santa Sofía, Urb Santa Sofía Caracas, Venezuela";"Psicólogos"
"CARDENAS, ISABEL DRA.";"";"Tel: (58) (295) 2635973";"Llano Adentro-Porlamar Porlamar, Venezuela";"Psicólogos"
"ROMAN M., LINDA DRA.";"";"Tel: (58) (212) 2656465";"Av. Libertador Caracas, Venezuela";"Psicólogos"
"ROBLES YANETZI, DRA.";"";"Tel: (58) (212) 2386297";"Los Ruices - Caracas Caracas, Venezuela";"Psicólogos"
"MENDOZA A AURA L., DRA.";"";"Tel: (58) (212) 4147738";"San Bernardino Caracas, Venezuela";"Psicólogos"
"FARRO F, ENEIDA J";"";"Tel: (58) (212) 2865212";"Av. R Gallegos, Los Palos Grandes Caracas, Venezuela";"Psicólogos"
"CENTRO DE NEUROPSICOTERAPIA";"";"Tel: (58) (212) 2663969";"Chacao Caracas, Venezuela";"Psicólogos"
"UNIDAD DE APOYO INTEGRAL NUEVAS IDEAS, C.A.";"";"Tel: (58) (212) 6611291";"Los Chaguaramos - Caracas Caracas, Venezuela";"Psicólogos"
"GUEDEZ A, MARIA E";"";"Tel: (58) (212) 2575643";"Av. Luis Roche, Altamira Caracas, Venezuela";"Psicólogos"
"BEHRENS SOPHIA DRA.";"";"Tel: (58) (212) 9855157";"Av. Circunvalacion Del Sol Centro Profesional Santa Paula Piso 3, Ofic, 3 10 - Caracas Caracas, Venezuela";"Psicólogos"
"VILLARROEL J. ELIZABETH";"";"Tel: (58) (241) 9131235";"Av. Bolivar Norte Valencia, Venezuela";"Psicólogos"
"GHANAIM, ANA M DE";"";"Tel: (58) (241) 8425228";"CI Jupiter, El Tigal Norte Valencia, Venezuela";"Psicólogos"
"CEVERO GILBERTO & FIGUERA BEATRIZ";"";"Tel: (58) (243) 2320332";"Urb. El Bosque, Torr. Maracay Maracay, Venezuela";"Psicólogos"
"PEÑA R GABRIELA";"";"Tel: (58) (212) 5522084";"Av. Francisco Fajardo, Inst. Neurología Y Neurociencias Aplicadas Piso 1 San Bernardino Caracas, Venezuela";"Psicólogos"
"PIGNATIELLO, ANTONIO";"";"Tel: (58) (212) 7516142";"Av. Beethoven, T. Financiera, Piso 2 Cnas De Bello Monte Caracas, Venezuela";"Psicólogos"
"LUGO, BRENDA";"";"Tel: (58) (212) 3244110";"Av. Cajigal San Bernardino Av. Francisco De Miranda, Chacao Caracas, Venezuela";"Psicólogos"
"CENTRO CLÍNICO PSICOLOGICO ALEX TORBAY MORENO";"";"Tel: (58) (212) 3932063";"Av. Libertador, Ctro. Prof. Sta. Paula Caracas, Venezuela";"Psicólogos"
"JHOJOA DECORACIONES C.A.";"";"Tel: (58) (212) 5147898";"Av. Principal de Altavista, Edif. Tamarite, Local 3, Planta Baja, Catia Caracas, Venezuela";"Puertas Corredizas Para Baño"
"INSTALACIONES SANGRONIS";"";"Tel: (58) (212) 5741586";"San AgustÙn del Norte Caracas, Venezuela";"Puertas Corredizas Para Baño"
"BAÑOS BOUTIQUE C.A.";"";"Tel: (58) (243) 2322453";"C.C. Hiper Jumbo, Nivel Sotano Local S-3/S-4 Maracay, Venezuela";"Puertas Corredizas Para Baño"
"DISTRAGLASS MILLENIUM, C.A.";"";"Tel: (58) (281) 4182342";"Las Garzas Barcelona, Venezuela";"Puertas Corredizas Para Baño"
"CRISTALERIA SAN GENARO";"";"Tel: (58) (212) 3613321";"RuÙz Pineda Guarenas, Venezuela";"Puertas Corredizas Para Baño"
"VIKTOR PUBLICIDAD";"";"Tel: (58) (276) 3418312";"Cl. 12 Nro 3-36, La Ermita San Cristóbal, Venezuela";"Puertas Corredizas Para Baño"
"VENTANAS Y PUERTAS ENRIQUE";"";"Tel: (58) (261) 7574283";"San Jacinto Maracaibo, Venezuela";"Puertas Corredizas Para Baño"
"VIDRIOS Y ALUMINIOS LIENDO,C.A.";"";"Tel: (58) (243) 2347712";"Av Constitucion Este Maracay, Venezuela";"Puertas Corredizas Para Baño"
"CRISTALVALLE, C.A.";"";"Tel: (58) (212) 6932010";"Av. Pedro Emilio Coll Quinta San Gregorio, Santa Mónica Caracas, Venezuela";"Puertas Corredizas Para Baño"
"GLOBAL GLASS,C.A.";"";"Tel: (58) (243) 2421867";"Cl Sucre,Los Olivos Viejos Maracay, Venezuela";"Puertas Corredizas Para Baño"
"ALFOMBRAS Y DECORACIONES YOVANNY, C.A.";"";"Tel: (58) (276) 3439535";"Br. Barrio Obrero San Cristóbal, Venezuela";"Puertas Corredizas Para Baño"
"CRISTALERIA ALFA GLASS GM, C.A.";"";"Tel: (58) (212) 5762221";"Cl. Real, Sarría Caracas, Venezuela";"Puertas Corredizas Para Baño"
"DISTRIBUIDORA VICKY DOOR, C.A.";"";"Tel: (58) (212) 9859221";"Av. Ppal. de La Guairita, El Cafetal, VÙa Cementerio del Este, Caracas Caracas, Venezuela";"Puertas Corredizas Para Baño"
"PERSISOL";"";"Telefax: (58) (241) 8245004";"Av. Bolivar norte Valencia, Venezuela";"Puertas Corredizas Para Baño"
"CRISTALERIA EL VISSEL, C.A.";"";"Telefax: (58) (212) 8613414";"Av. Luisa Cáceres, Catia Caracas, Venezuela";"Puertas Corredizas Para Baño"
"ALUMINIOS ONIX MAR, C.A.";"";"Tel: (58) (212) 2573847";"Final Av. Bolívar, El Llanito Caracas, Venezuela";"Puertas Corredizas Para Baño"
"A.E.H.M. CRISTALES Y ALUMINIOS";"";"Tel: (58) (212) 3452535";"Prolongación Los Manolos Caracas, Venezuela";"Puertas Corredizas Para Baño"
"CRISTALES EL NORTE, C.A.";"";"Tel: (58) (295) 2570751";"Cl. Principal, Santa Ana Norte Santa Ana, Venezuela";"Puertas Corredizas Para Baño"
"REPRESENTACIONES GOMEZ CABAS";"";"Tel: (58) (276) 3464817";"Cr. 10, La Concordia San Cristóbal, Venezuela";"Puertas Corredizas Para Baño"
"ALUMINIOS SANTA BARBARA";"";"Tel: (58) (261) 2663220";"Av. Las Americas Santa Barbara Maracaibo, Venezuela";"Puertas Corredizas Para Baño"
"800 VENTANA, C.A.";"";"Tel: (58) (212) 6311942";"Av. Leoncio Martínez, Galpón N³58, Las Acacias (detrás del INCE) Caracas, Venezuela";"Puertas Corredizas Para Baño"
"ALUMINIOS VIBALFA S.R.L.";"";"Tel: (58) (212) 5419979";"2³ Av. con 3³ Transversal, N³50 Las Flores de Puente Hierro Caracas, Venezuela";"Puertas Corredizas Para Baño"
"CONSTRUMINIO GÓMEZ, S.R.L.";"";"Telefax: (58) (212) 2572911";"Cl. La Línea, El Llanito Caracas, Venezuela";"Puertas Corredizas Para Baño"
"INSTARQVEN,C.A.";"";"Tel: (58) (241) 8221486";"Cl.102,La Alegria Valencia, Venezuela";"Puertas Corredizas Para Baño"
"TALLER DE HERRERÙA Y ALUMINIO RODAYMA, C.A.";"";"Telefax: (58) (212) 2349593";"Caracas Caracas, Venezuela";"Puertas Corredizas Para Baño"
"ALUVIDRIOS SAN ANTONIO";"";"Telefax: (58) (212) 3714540";"C.C. La Gonzalera, Los Castores San Antonio De Los Altos Caracas, Venezuela";"Puertas Corredizas Para Baño"
"ALUMINIOS YOCARED";"";"Tel: (58) (274) 2623214";"Entrada Los Sauzales Av. Las Americas, Los Sauzales Mérida, Venezuela";"Puertas Corredizas Para Baño"
"CONSTRUCCIONES ARISTIGUETA, C.A.";"";"Tel: (58) (212) 2425901";"Av. Rómulo Gallegos, La Urbina Caracas, Venezuela";"Puertas Corredizas Para Baño"
"ARTELUVIDRIO, C.A.";"";"Tel: (58) (261) 7981445";"Av. 8, Santa Rita Maracaibo, Venezuela";"Puertas Corredizas Para Baño"
"CRISTALUM LAS COLINAS ESTE, C.A.";"";"Tel: (58) (212) 2424766";"Cl 9, Galpón Cristalum, La Urbina, Caracas Caracas, Venezuela";"Puertas Corredizas Para Baño"
"DECOINTER'S";"";"Tel: (58) (276) 5161822";"Av. Carabobo, San Cristóbal San Cristóbal, Venezuela";"Puertas Corredizas Para Baño"
"PROGLASS, C.A.";"";"Telefax: (58) (212) 5615990";"Av. Fzas. Armadas, Centro - Caracas Caracas, Venezuela";"Puertas Corredizas Para Baño"
"Pysta";"";"Cel.: (58) 3113856531";"Atiende en El Espinal desde su sede principal en Cali El Espinal, Venezuela";"Rectificadoras De Motores"
"FIMM, C.A.";"";"Tel: (58) (286) 9512192";"Cl. Neveri,Zona Ind. Unare II Ciudad Guayana Puerto Ordaz, Venezuela";"Rectificadoras De Motores"
"RECTI-FICO, C.A.";"";"Tel: (58) (212) 3445958";"Cl. Miranda No.33 Centro Guatire Guatire, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORES TONNY, C.A.";"";"Tel: (58) (282) 4241767";"prolongacion Portuguesa al Lado Rest.La Aldea Anaco, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA ANACO";"";"Tel: (58) (282) 4256882";"Av. Los Pilones Carretera Negra Anaco Anaco, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA LA YAGUARA";"";"Tel: (58) (212) 4722194";"Av. Ppal, El Algodonal, Edificio Industrial Don Andrés, P.B. Locales 5 Y 6 El Algodonal Caracas Caracas, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA YARAFAL, C.A.";"";"Telefax: (58) (254) 2345079";"Ct. Panamericana Sc, Sabaneta San Felipe, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA VENEZUELA, C.A.";"";"Tel: (58) (251) 2669190";"Pueblo Nuevo Barquisimeto, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA GUAYANA, C.A.";"";"Tel: (58) (285) 6513041";"Diagonal A La Coca Cola Calle La Piscina Ciudad Bolivar, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA LA INTERNACIONAL BARQUISIMETO, C.A.";"";"Tel: (58) (251) 2326231";"Cl. 34, Barquisimeto Barquisimeto, Venezuela";"Rectificadoras De Motores"
"RECTI AGRO VALENCIA";"";"Tel: (58) (241) 8337907";"Av Henry Ford, La Isabelica, Valencia Valencia, Venezuela";"Rectificadoras De Motores"
"MULTISERVICIOS SOLOMOTOR 2005, C.A.";"";"Tel: (58) (212) 3525032";"Av. Atlantida, Catia La Mar Maiquetia Caracas, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA CARACAS, C.A.";"";"Tel: (58) (247) 3645306";"Av Intercomunal, San Fernando De Apure San Fernando de Apure, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA T.E.R. MOTOR, C.A.";"";"Tel: (58) (212) 3811925";"El Marquéz Alto Guatire Guatire, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA SAN AGUSTÍN, S.R.L.";"";"Tel: (58) (243) 2323487";"Av Principal, San Agustín, Maracay Maracay, Venezuela";"Rectificadoras De Motores"
"POSSU MOTORS, C.A.";"";"Tel: (58) (212) 8612178";"Cl. El Diamante, Catia Caracas, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA MARIO C.A.";"";"Tel: (58) (251) 2670693";"Av. Las industrias, Sector La Sierra Barquisimeto, Edo. Lara Barquisimeto, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA GUARENAS, C.A.";"";"Tel: (58) (212) 3637731";"Las Clavellinas, Guarenas Guarenas, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA KAIZEN, S.A.";"";"Tel: (58) (212) 7628409";"Av. Casanova, Sabana Grande Caracas, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA LAS MINAS";"";"Tel: (58) (212) 3839103";"Entrada Puente Carrizal, Cl. Sucre Galpón G. Carrizal, Edo. Miranda Caracas, Venezuela";"Rectificadoras De Motores"
"RECONSTRUCCIONES MIRIAM, S.R.L.";"";"Tel: (58) (243) 2468529";"Cl Cooperativa Nro. 92 Br. Santa Rosa, Maracay Maracay, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA DE MOTORES DEL CENTRO";"";"Tel: (58) (251) 4470892";"Cr. 33, Centro Barquisimeto, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA INDUSTRIAL VENEZOLANA, C.A.";"";"Tel: (58) (241) 8354608";"Av Lisandro Alvarado Frente A La Estatua De Páez La Florida, Valencia Valencia, Venezuela";"Rectificadoras De Motores"
"TALLER DE RECTIFICACIÓN CENTRAL, C.A.";"";"Tel: (58) (241) 8355859";"Av San Juan Vianney, Los Caobos, Valencia Valencia, Venezuela";"Rectificadoras De Motores"
"BIELAS MOTOR, C.A.";"";"Tel: (58) (286) 9314698";"Av. Los Libertador, Los Pinos San Feliz Ciudad Guayana Puerto Ordaz, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA TRUJILLO, C.A.";"";"Tel: (58) (241) 8530855";"Av Principal Nueva Velencia, Tocuyito, Nú 54 Tocuyito, Venezuela";"Rectificadoras De Motores"
"FRANCESCO FRASSINE & CIA, C.A.";"";"Tel: (58) (212) 8722531";"Cl. Perú, Catia Caracas, Venezuela";"Rectificadoras De Motores"
"RECONSTRUCTORA CLARET MOTOR'S, C.A.";"";"Tel: (58) (212) 3649096";"Paseo El Vaquiro, Galpón 113 Ind. Los Cerritos Los Teques Los Teques, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA GODOY, C.A.";"";"Tel: (58) (244) 4477983";"Cl Froilán Correa, Cagua Cagua, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA APURE, C.A.";"";"Tel: (58) (247) 3413680";"Av Intercomunal Los Centauros Calle 13 De Septiembre, San Fernando De Apure San Fernando de Apure, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA SALAZAR, S.R.L.";"";"Tel: (58) (243) 2334531";"San Agustín, Maracay Maracay, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA EJIDO, C.A. RECTERCA";"";"Tel: (58) (274) 2212684";"Galpên Nro. 47 Ct. Via Manzano Bajo, El Manzano Ejido, Venezuela";"Rectificadoras De Motores"
"EL MOTOR VENEZOLANO, C.A.";"";"Tel: (58) (212) 6327198";"Paralelo A La Av. Nueva Granada Av. El Paseo, Los Rosales Local 19, P.B. Caracas, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA CORIN MOTOR";"";"Tel: (58) (212) 2590083";"Carret. Nacional, Edf. Venmoto. Pb.San JUan Bautista Caracas, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA FALCON, C.A.";"";"Tel: (58) (251) 2450054";"Bolivar Barquisimeto, Venezuela";"Rectificadoras De Motores"
"RECTIFIACIÓN MI-CRO, C.A.";"";"Tel: (58) (212) 2417494";"Cl. 4 Con Cl. 8, La Urbina Caracas, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA UNARE, C.A.";"";"Tel: (58) (286) 9510741";"Av. Paseo Caroni, Unare II,Al Lado Del Bloque De Armas Ciudad Guayana Puerto Ordaz, Venezuela";"Rectificadoras De Motores"
"RECTIFICADORA LA INTERNACIONAL QUIBOR CA";"";"Tel: (58) (253) 4910222";"Av. Florencio Jimenez Quibor, Venezuela";"Rectificadoras De Motores"
"NARDESE Y FERRARI, C.A.";"";"Tel: (58) (212) 8605601";"Av. 2 Ciudad Industrial, Catia Caracas, Venezuela";"Rectificadoras De Motores"
"MUL-T-LOCK";"";"Tel: (58) (261) 7977132";"Calle 78 (Dr. Portillo) con 14A, N³ 14A-19, Local # 5 PA Maracaibo - Edo Zulia Maracaibo, Venezuela";"Rejas"
"PLOMERIA LEON RC, C.A.";"";"Tel: (58) (212) 7930602";"Cl. Zulia Maripérez, Caracas Caracas, Venezuela";"Reparación De Bombas Para Agua"
"CRUPEYCO S.R-L";"";"Tel: (58) (269) 2479969";"Cl Acueducto Caja de Agua Punto Fijo, Venezuela";"Reparación De Bombas Para Agua"
"CENTRO AUTOMOTRIZ NAVAS CAR©S";"";"Tel: (58) (241) 8257092";"El Viñedo Valencia, Venezuela";"Reparación De Inyectores"
"NELSON NARANJO";"";"Tel: (58) (212) 5454394";"Caracas Caracas, Venezuela";"Reparación De Máquinas De Escribir"
"MEGA VISION, S.R.I.";"";"Tel: (58) (243) 2471484";"CI Paez. Edif. Colepi P.B. Loc. 1-A, Centro Maracay, Venezuela";"Reparación De Televisores"
"CLINICA DEL TV Y EL MICROONDAS";"";"Tel: (58) (212) 7940605";"Res. Lidomar Los Caobos Caracas, Venezuela";"Reparación De Televisores"
"OFICINTA S.R.L.";"";"Tel: (58) (212) 4163086";"Estacionamiento Pamela Al Lado Res. Ops Caracas, Venezuela";"Reparación De Televisores"
"TECNO-SERVICIO TV COLOR";"";"Tel: (58) (243) 2360377";"Santa Ana Maracay, Venezuela";"Reparación De Televisores"
"TELE PAEZ TV, CA";"";"Tel: (58) (212) 2659638";"Cl. Paéz, Chacao Caracas, Venezuela";"Reparación De Televisores"
"SERVICIO T.V. ESPAÑA, C.A.";"";"Tel: (58) (212) 2676792";"3ra Calle de Campo Alegre Caracas, Venezuela";"Reparación De Televisores"
"RASEFAM, C.A.";"";"Tel: (58) (212) 9459734";"Cl. Paéz, Baruta Caracas, Venezuela";"Reparación De Televisores"
"ELECTRONICA POWER LOGIC, C.A.";"";"Tel: (58) (241) 8711577";"Cl. 142, El Morro II Valencia, Venezuela";"Reparación De Televisores"
"LOS REYES DE LA ELECTRONICA";"";"Tel: (58) (212) 4817245";"C.C. Galerias Capitolio Caracas, Venezuela";"Reparación De Televisores"
"ELECTRO HOME 21 C.A.";"";"Tel: (58) (212) 9412482";"C.C. Plaza La Trinidad P.B. Caracas, Venezuela";"Reparación De Televisores"
"TELE TÉCNICA HOUSTON";"";"Tel: (58) (212) 6611095";"Cl Edison, Edif. San Diego Caracas, Venezuela";"Reparación De Televisores"
"TALLER ITALVEN";"";"Tel: (58) (281) 2770956";"Av. Caracas, Edif. El Cardón, Loc 9-7 Centro Barcelona, Venezuela";"Reparación De Televisores"
"C.A. LIFORNIA ELECTRONICA";"";"Tel: (58) (212) 2711108";"Av. París, California Norte Caracas, Venezuela";"Reparación De Televisores"
"ALRUSZ ELECTRONICS, CA";"";"Tel: (58) (212) 2561986";"Av Principal Macaracuay Caracas, Venezuela";"Reparación De Televisores"
"TALLER RADIO TÉCNICO, S.R.L. NINO REYES";"";"Tel: (58) (295) 2633555";"CII Igualdad, Porlamar Porlamar, Venezuela";"Reparación De Televisores"
"TELEQUIP, C.A.";"";"Tel: (58) (295) 2635154";"Cl. S Rafael Porlamar, Venezuela";"Reparación De Televisores"
"BXDFGH";"";"Tel: (58) (264) 3713329";"Cabillas Cabimas, Venezuela";"Reparación De Televisores"
"TECNO VISIÓN, C.A.";"";"Tel: (58) (276) 3465544";"Cr.7, La Concordia San Cristóbal, Venezuela";"Reparación De Televisores"
"AUDIO VIDEO PROFESIONAL";"";"Tel: (58) (276) 3558898";"Calle 10, Nro. 20-15 Barrio Obrero San Cristóbal, Venezuela";"Reparación De Televisores"
"ELECTRONICA DAFER, C.A.";"";"Tel: (58) (212) 5779987";"Av La Estrella Caracas, Venezuela";"Reparación De Televisores"
"KALSTEIN C.A.";"";"Telefax: (58) (261) 2421491";"Zona Ind. San Vicente II, Maracay, Edo. Aragua Maracaibo, Venezuela";"Repuestos Para Laboratorio Clínico"
"POWERTROL ENERGUY MANAGEMENT";"";"Tel: (58) (212) 6936065";"Av. Cristobal Rojas, entre Calles Calcaño y Simon Planas, Qta. Los Vivas Santa Mónica Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"POWETROL GENERATION SYSTEMS, S.A.";"";"Tel: (58) (212) 6935153";"Av.Cristobal Rojas, Qta. Las Vistas Urb., Santa Monica Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"PERCAT MOTOR C.A";"";"Tel: (58) (271) 9143128";"Candilito a Tablitas, Edif. Pilar, Loc. B, Santa Rosalia Valera, Venezuela";"Repuestos Para Plantas Eléctricas"
"VELINCA VENEZOLANA DE ILUMINACIONES, C.A.";"";"Tel: (58) (212) 8342177";"Calle Este-Oeste Nro 05, Edif. Duralux Zona Industrial Municipal Norte Va lencia- Edo. carabobo Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"IMPEXPAR, C.A.";"";"Tel: (58) (212) 7318164";"Av. Andrés Bello, La Florida Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"DISTRIBUIDORA KUSKOS C.A.";"";"Tel: (58) (241) 8715333";"Urb. Industrial Castillito, Calle 100, Parcela N³ L-42, Edif. Kuskos Vale ncia Venezuela Valencia, Venezuela";"Repuestos Para Plantas Eléctricas"
"ELECTRA REPRESENTACIONES Y CONSTRUCCIONES C.A";"";"Tel: (58) (261) 7651170";"Maracaibo Maracaibo, Venezuela";"Repuestos Para Plantas Eléctricas"
"FERRELAGO, C.A.";"";"Tel: (58) (261) 7361010";"Cl 60, Zona Industrial Maracaibo, Venezuela";"Repuestos Para Plantas Eléctricas"
"LFD INGENIERÍA, C.A.";"";"Tel: (58) (212) 2375347";"La California Norte, Caracas Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"MOTOREPS C.A.";"";"Tel: (58) (271) 4463658";"Av. p. Leon Torres con calle 52 Valera, Venezuela";"Repuestos Para Plantas Eléctricas"
"DOMOSA";"";"Tel: (58) (273) 5309600";"Ct. Nacional, Los Guasimitos Barinas, Venezuela";"Repuestos Para Plantas Eléctricas"
"AQUADYNE GROUP, C.A.";"";"Tel: (58) (212) 7938179";"Av. Lincoln, Plaza Venezuela Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"KVA GENERATOR, C.A.";"";"Tel: (58) (212) 3124526";"Av. Pedro Russo Ferrer, C.C. Vasconia, PB Local L-43 Sector El Tambor Los Teques, Edo. Miranda Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"GRUPO AUTOPARTS";"";"Tel: (58) (212) 8681887";"Caracas Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"PLANTAS ELÉCTRICAS";"";"Tel: (58) (241) 6179312";"Valencia Valencia, Venezuela";"Repuestos Para Plantas Eléctricas"
"SETEPECO S.A.";"";"Tel: (58) (212) 7517480";"Caracas Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"FERRELAGOS, C.A.";"";"Tel: (58) (261) 7361010";"Cl. 60, Zona Industrial Maracaibo, Venezuela";"Repuestos Para Plantas Eléctricas"
"ITACA INGENIEROS Y TÉCNICOS ASOCIADOS C.A.";"";"Tel: (58) (212) 2385811";"Cl. E, Edif. Spefar, Noleíta Norte, Caracas Venezuela Caracas, Venezuela";"Repuestos Para Plantas Eléctricas"
"ELECTRO TECNI-VENEZOLANA, C.A.";"";"Tel: (58) (241) 8347635";"Zona Industrial Carabobo Valencia, Venezuela";"Repuestos Para Plantas Eléctricas"
"IDERNA DE VENEZUELA C.A.";"";"Tel: (58) (276) 7873011";"Cl.18, Zona Ind. Ureña Ureña, Venezuela";"Resortes Industriales"
"TOP-RIEGO BEJUMA, C.A.";"";"Tel: (58) (212) 7930577";"Carretera Panamericana, Valencia-Nirgura Km. 79, Montalbán - Edo. Carabob o Caracas, Venezuela";"Riegos E Irrigación"
"AZAREEL ANGARITA";"";"Tel: (58) (255) 6142144";"Av. 30 CC La Galeria Acarigua, Venezuela";"Ropa Antiasalto"
"TECNOMEDICA";"gerencia@tecnomedicacolombia.";"Cel.: (58) 3147328626";"Atiende en Villa Del Rosario desde su sede principal en Medellín Villa del Rosario, Venezuela";"Ropa Interior Y Lenceria"
"LENCERIA LA COQUETA, C.A";"";"Tel: (58) (212) 3234233";"Cl Cuchivana Higuerote Caracas, Venezuela";"Ropa Interior Y Lenceria"
"SPORTWIND DE VENEZUELA C.A";"";"Tel: (58) (212) 5323271";"Zona Industrial Del Este Mariches Caracas, Venezuela";"Ropa Interior Y Lenceria"
"REPRESENTACIONES VAL NIC 3000, S.A";"";"Tel: (58) (212) 2348339";"Boleita Norte Caracas, Venezuela";"Ropa Interior Y Lenceria"
"RP 94 REPRESENTACIONES";"";"Tel: (58) (212) 9933626";"Cl Paris Con Cl New York Edif Txindoki Piso 2 Of No.5 Urb Las Mercedes Caracas, Venezuela";"Ropa Interior Y Lenceria"
"ORTOPEDIA TECNICA ORIENTE, S.R.L.";"";"Tel: (58) (281) 2764495";"Av. Caracas, Edf Leni Barcelona, Venezuela";"Ropa Interior Y Lenceria"
"TODETEX CA";"";"Tel: (58) (276) 7716655";"Via Peracal San Antonio del Táchira, Venezuela";"Ropa Interior Y Lenceria"
"CONFECCIONES NOITANO, C.A.";"";"Tel: (58) (212) 2349095";"Edf. Apolo Planta Baja 3ra Transversal Boleíta Sur Caracas, Venezuela";"Ropa Interior Y Lenceria"
"LA ESTRELLA INTIMA, C.A.";"";"Tel: (58) (251) 2318691";"Av. 20 Barquisimeto, Venezuela";"Ropa Interior Y Lenceria"
"SULTAN BLUMER, C.A.";"";"Telefax: (58) (212) 7632067";"Boulevard Sabana Grande Edif. Galerías Bolivar Loc.8 Caracas, Venezuela";"Ropa Interior Y Lenceria"
"LA CASA DEL BUHONERO, C.A.";"";"Tel: (58) (212) 2653720";"Chacao - Caracas Caracas, Venezuela";"Ropa Interior Y Lenceria"
"AMA DE CASA";"";"Tel: (58) (212) 3831132";"La Cascada Caracas, Venezuela";"Ropa Interior Y Lenceria"
"CALMI";"";"Tel: (58) (212) 9937786";"Cl Madrid Las Mercedes Caracas, Venezuela";"Ropa Interior Y Lenceria"
"INDUSTRIAS MORARIAS SRL";"";"Tel: (58) (276) 7880250";"Independencia Independencia, Venezuela";"Ropa Interior Y Lenceria"
"SPAZIO-CASA";"";"Tel: (58) (212) 9739637";"Importaciones Tetuan Cují A Punceres Edif,Catedral Caracas Caracas, Venezuela";"Ropa Interior Y Lenceria"
"NAIM IMPORT Y EXPORT, C.A.";"";"Tel: (58) (269) 2464807";"Av. Bolívar Punto Fijo, Venezuela";"Ropa Interior Y Lenceria"
"EVA SILUETTE";"";"Tel: (58) (212) 7610258";"C.C. City Market San Antonio De Los Altos, Venezuela";"Ropa Interior Y Lenceria"
"LA SUPERTIENDA DEL BLUMER";"";"Tel: (58) (282) 4255362";"Av. Miranda C/C Negro Primero Anaco, Venezuela";"Ropa Interior Y Lenceria"
"LINA CONFECCIONES, S.R.L.";"";"Tel: (58) (212) 2619884";"Chacao Caracas, Venezuela";"Ropa Interior Y Lenceria"
"IMPORTACIONES TRIPLE H, C.A.";"";"Tel: (58) (251) 2324317";"Centro Comercial Cosmo I Frente A La Iglesia San José Calle 25 E/ Cr 21 Y 22 Barquisimeto, Venezuela";"Ropa Interior Y Lenceria"
"TIENDA KOKETISIMA";"";"Tel: (58) (281) 2869482";"C.C. El Peñón del Faro, Lecherías Barcelona, Venezuela";"Ropa Interior Y Lenceria"
"ND LENCERIA";"";"Tel: (58) (276) 3417116";"Av. F. Tamayo San Cristóbal, Venezuela";"Ropa Interior Y Lenceria"
"LA CASA DE LOS GUANTES";"";"Tel: (58) (274) 2521408";"Av.3 Entre Cal 16 y 17 Mérida, Venezuela";"Ropa Interior Y Lenceria"
"BRISA CORPORATION C.A";"";"Tel: (58) (212) 2398177";"Av Ppal De Boleíta Norte Cruce Con Cl Tiuna Edif Casa Boleíta Norte Carac as Caracas, Venezuela";"Ropa Interior Y Lenceria"
"ANGELAS'S DISEÑOS, C.A.";"";"Tel: (58) (212) 7610132";"Edf. Raams, P.H.A Caracas, Venezuela";"Ropa Interior Y Lenceria"
"REPRESENTACIONES WONG, C.A.";"";"Tel: (58) (275) 8812350";"Av. 13, Bolivar El Vigía, Venezuela";"Ropa Interior Y Lenceria"
